id,time,time_period,attack_name,total events, event_id,event_count, occurences,Total attack,TF,IDF,TFIDF
1,2016-04-06 20:18,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),104,e3,9,9,124,0.08653846153846154,1.1391791757229102,0.09858281328371338
1,2016-04-06 20:18,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),104,e15,1,6,124,0.009615384615384616,1.3152704347785915,0.012646831103640304
1,2016-04-06 20:18,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),104,e16,1,7,124,0.009615384615384616,1.2483236451479782,0.012003111972576714
1,2016-04-06 20:18,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),104,e18,6,78,124,0.057692307692307696,0.20132708247175465,0.011615023988755076
1,2016-04-06 20:18,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),104,e32,4,54,124,0.038461538461538464,0.3610279253392666,0.013885689436125639
1,2016-04-06 20:18,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),104,e34,2,104,124,0.019230769230769232,0.0763883458634547,0.001469006651220283
1,2016-04-06 20:18,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),104,e55,13,87,124,0.125,0.15390243254361655,0.01923780406795207
1,2016-04-06 20:18,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),104,e60,2,5,124,0.019230769230769232,1.3944516808262162,0.026816378477427235
1,2016-04-06 20:18,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),104,e62,4,29,124,0.038461538461538464,0.631023687263279,0.024270141817818423
1,2016-04-06 20:18,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),104,e69,3,120,124,0.028846153846153848,0.014240439114610285,4.107818975368352E-4
1,2016-04-06 20:18,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),104,e84,5,81,124,0.04807692307692308,0.1849366662835853,0.008891185879018524
1,2016-04-06 20:18,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),104,e89,15,75,124,0.14423076923076922,0.21836042177053502,0.031494291601519474
1,2016-04-06 20:18,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),104,e90,8,72,124,0.07692307692307693,0.23608918873096663,0.01816070682545897
1,2016-04-06 20:18,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),104,e105,1,7,124,0.009615384615384616,1.2483236451479782,0.012003111972576714
1,2016-04-06 20:18,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),104,e122,30,105,124,0.28846153846153844,0.072232386092297,0.020836265218931824
id,time,time_period,attack_name,total events, event_id,event_count, occurences,Total attack,TF,IDF,TFIDF
2,2016-04-06 20:57,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),66,e3,1,9,124,0.015151515151515152,1.1391791757229102,0.017260290541256215
2,2016-04-06 20:57,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),66,e18,4,78,124,0.06060606060606061,0.20132708247175465,0.012201641361924524
2,2016-04-06 20:57,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),66,e32,3,54,124,0.045454545454545456,0.3610279253392666,0.016410360242693937
2,2016-04-06 20:57,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),66,e34,2,104,124,0.030303030303030304,0.0763883458634547,0.0023147983594986273
2,2016-04-06 20:57,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),66,e55,10,87,124,0.15151515151515152,0.15390243254361655,0.023318550385396448
2,2016-04-06 20:57,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),66,e62,4,29,124,0.06060606060606061,0.631023687263279,0.03824385983413812
2,2016-04-06 20:57,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),66,e69,2,120,124,0.030303030303030304,0.014240439114610285,4.315284580184935E-4
2,2016-04-06 20:57,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),66,e84,5,81,124,0.07575757575757576,0.1849366662835853,0.014010353506332219
2,2016-04-06 20:57,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),66,e89,3,75,124,0.045454545454545456,0.21836042177053502,0.009925473716842501
2,2016-04-06 20:57,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),66,e90,1,72,124,0.015151515151515152,0.23608918873096663,0.003577108920166161
2,2016-04-06 20:57,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),66,e122,31,105,124,0.4696969696969697,0.072232386092297,0.03392733286153344
id,time,time_period,attack_name,total events, event_id,event_count, occurences,Total attack,TF,IDF,TFIDF
3,2016-04-06 21:05,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),55,e3,6,9,124,0.10909090909090909,1.1391791757229102,0.12427409189704473
3,2016-04-06 21:05,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),55,e18,4,78,124,0.07272727272727272,0.20132708247175465,0.014641969634309429
3,2016-04-06 21:05,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),55,e32,1,54,124,0.01818181818181818,0.3610279253392666,0.006564144097077574
3,2016-04-06 21:05,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),55,e34,1,104,124,0.01818181818181818,0.0763883458634547,0.0013888790156991763
3,2016-04-06 21:05,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),55,e55,4,87,124,0.07272727272727272,0.15390243254361655,0.011192904184990294
3,2016-04-06 21:05,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),55,e62,3,29,124,0.05454545454545454,0.631023687263279,0.0344194738507243
3,2016-04-06 21:05,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),55,e84,6,81,124,0.10909090909090909,0.1849366662835853,0.020174909049118395
3,2016-04-06 21:05,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),55,e89,3,75,124,0.05454545454545454,0.21836042177053502,0.011910568460211001
3,2016-04-06 21:05,10.0,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),55,e122,27,105,124,0.4909090909090909,0.072232386092297,0.03545953499076398
