,,,,,,,,,  TF,IDF,TF-IDF
1,2016-04-06 20:57,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),66,e3,1,8,61,0.015151515,0.882239848,0.01336727
1,2016-04-06 20:57,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),66,e18,4,34,61,0.060606061,0.253850918,0.015384904
1,2016-04-06 20:57,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),66,e32,3,26,61,0.045454545,0.370356487,0.016834386
1,2016-04-06 20:57,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),66,e34,2,45,61,0.03030303,0.132117321,0.004003555
1,2016-04-06 20:57,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),66,e55,10,37,61,0.151515152,0.217128111,0.032898199
1,2016-04-06 20:57,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),66,e62,4,11,61,0.060606061,0.74393715,0.0450871
1,2016-04-06 20:57,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),66,e69,2,52,61,0.03030303,0.069326491,0.002100803
1,2016-04-06 20:57,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),66,e84,5,35,61,0.075757576,0.241261791,0.018277408
1,2016-04-06 20:57,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),66,e89,3,36,61,0.045454545,0.229027334,0.010410333
1,2016-04-06 20:57,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),66,e90,1,39,61,0.015151515,0.194265228,0.002943413
1,2016-04-06 20:57,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),66,e122,31,47,61,0.46969697,0.113231977,0.053184717
2,2016-04-06 21:05,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),55,e3,6,8,61,0.109090909,0.882239848,0.096244347
2,2016-04-06 21:05,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),55,e18,4,34,61,0.072727273,0.253850918,0.018461885
2,2016-04-06 21:05,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),55,e32,1,26,61,0.018181818,0.370356487,0.006733754
2,2016-04-06 21:05,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),55,e34,1,45,61,0.018181818,0.132117321,0.002402133
2,2016-04-06 21:05,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),55,e55,4,37,61,0.072727273,0.217128111,0.015791135
2,2016-04-06 21:05,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),55,e62,3,11,61,0.054545455,0.74393715,0.04057839
2,2016-04-06 21:05,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),55,e84,6,35,61,0.109090909,0.241261791,0.026319468
2,2016-04-06 21:05,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),55,e89,3,36,61,0.054545455,0.229027334,0.0124924
2,2016-04-06 21:05,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),55,e122,27,47,61,0.490909091,0.113231977,0.055586607
3,2016-04-06 21:12,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),69,e3,7,8,61,0.101449275,0.882239848,0.089502593
3,2016-04-06 21:12,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),69,e18,5,34,61,0.072463768,0.253850918,0.018394994
3,2016-04-06 21:12,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),69,e32,1,26,61,0.014492754,0.370356487,0.005367485
3,2016-04-06 21:12,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),69,e34,1,45,61,0.014492754,0.132117321,0.001914744
3,2016-04-06 21:12,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),69,e55,9,37,61,0.130434783,0.217128111,0.028321058
3,2016-04-06 21:12,10,ISMM-1 SNIPER and sleep( (Blind SQL Sleep() Query Injection Vul-3),69,e62,4,11,61,0.057971014,0.74393715,0.043126791
